Controller,CMACC,CMDEC,Ego speed,Ego acc,Ego dist,SpeedDifF,SpeedDifL,OverLimit,DesDist,DistError,Front speed,FSF,Front acc,FAF,Front throttle,Front brake,Leader speed,LSF,Leader acc,LAF,Leader throttle,Leader brake,Max acc,max dec,max throttle,max brake,Speed limit,Technique
Distance,2.75,-5,16.5021,0.5675,8.4290,0.0247,0.0247,0.0000,8.2511,-0.1780,16.5269,FailureType.no_failure,0.0434,FailureType.no_failure,0.5158,0.0000,16.5269,FailureType.no_failure,0.0434,FailureType.no_failure,0.5158,0.0000,0.0434,0.0000,0.5158,0.0000,60.0,NO
Distance,2.75,-5,16.5291,0.5649,8.4294,-0.0020,-0.0020,0.0000,8.2645,-0.1649,16.5271,FailureType.no_failure,0.0411,FailureType.no_failure,0.5151,0.0000,16.5271,FailureType.no_failure,0.0411,FailureType.no_failure,0.5151,0.0000,0.0411,0.0000,0.5151,0.0000,60.0,NO
Distance,2.75,-5,16.5563,0.5859,8.4285,-0.0287,-0.0287,0.0000,8.2781,-0.1503,16.5276,FailureType.no_failure,0.0503,FailureType.no_failure,0.5131,0.0000,16.5276,FailureType.no_failure,0.0503,FailureType.no_failure,0.5131,0.0000,0.0503,0.0000,0.5131,0.0000,60.0,NO
Distance,2.75,-5,16.5832,0.5812,8.4260,-0.0547,-0.0547,0.0000,8.2916,-0.1345,16.5284,FailureType.no_failure,0.0519,FailureType.no_failure,0.5102,0.0000,16.5284,FailureType.no_failure,0.0519,FailureType.no_failure,0.5102,0.0000,0.0519,0.0000,0.5102,0.0000,60.0,NO
Distance,2.75,-5,16.6102,0.5736,8.4219,-0.0809,-0.0809,0.0000,8.3051,-0.1168,16.5293,FailureType.no_failure,0.0417,FailureType.no_failure,0.5071,0.0000,16.5293,FailureType.no_failure,0.0417,FailureType.no_failure,0.5071,0.0000,0.0417,0.0000,0.5071,0.0000,60.0,NO
Distance,2.75,-5,16.6373,0.5877,8.4160,-0.1073,-0.1073,0.0000,8.3186,-0.0974,16.5300,FailureType.no_failure,0.0521,FailureType.no_failure,0.5045,0.0000,16.5300,FailureType.no_failure,0.0521,FailureType.no_failure,0.5045,0.0000,0.0521,0.0000,0.5045,0.0000,60.0,NO
Distance,2.75,-5,16.6643,0.5792,8.4082,-0.1340,-0.1340,0.0000,8.3322,-0.0761,16.5303,FailureType.no_failure,0.0355,FailureType.no_failure,0.5034,0.0000,16.5303,FailureType.no_failure,0.0355,FailureType.no_failure,0.5034,0.0000,0.0355,0.0000,0.5034,0.0000,60.0,NO
Distance,2.75,-5,16.6908,0.5726,8.3986,-0.1605,-0.1605,0.0871,8.3454,-0.0531,16.5303,FailureType.no_failure,0.0166,FailureType.no_failure,0.5033,0.0000,16.5303,FailureType.no_failure,0.0166,FailureType.no_failure,0.5033,0.0000,0.0166,0.0000,0.5033,0.0000,60.0,NO
Distance,2.75,-5,16.7174,0.5740,8.3870,-0.1874,-0.1874,0.1827,8.3587,-0.0283,16.5300,FailureType.no_failure,0.0179,FailureType.no_failure,0.5043,0.0000,16.5300,FailureType.no_failure,0.0179,FailureType.no_failure,0.5043,0.0000,0.0179,0.0000,0.5043,0.0000,60.0,NO
Distance,2.75,-5,16.7379,0.5370,8.3738,-0.2084,-0.2084,0.2566,8.3690,-0.0048,16.5296,FailureType.no_failure,0.0055,FailureType.no_failure,0.5059,0.0000,16.5296,FailureType.no_failure,0.0055,FailureType.no_failure,0.5059,0.0000,0.0055,0.0000,0.5059,0.0000,60.0,NO
Distance,2.75,-5,16.7228,0.0595,8.3601,-0.1937,-0.1937,0.2022,8.3614,0.0013,16.5292,FailureType.no_failure,0.0004,FailureType.no_failure,0.5074,0.0000,16.5292,FailureType.no_failure,0.0004,FailureType.no_failure,0.5074,0.0000,0.0004,0.0000,0.5074,0.0000,60.0,NO
Distance,2.75,-5,16.6700,-0.7429,8.3481,-0.1411,-0.1411,0.0120,8.3350,-0.0131,16.5289,FailureType.no_failure,0.0003,FailureType.no_failure,0.5085,0.0000,16.5289,FailureType.no_failure,0.0003,FailureType.no_failure,0.5085,0.0000,0.0003,0.0000,0.5085,0.0000,60.0,NO
Distance,2.75,-5,16.5919,-1.3426,8.3394,-0.0631,-0.0631,0.0000,8.2959,-0.0434,16.5288,FailureType.no_failure,0.0032,FailureType.no_failure,0.5087,0.0000,16.5288,FailureType.no_failure,0.0032,FailureType.no_failure,0.5087,0.0000,0.0032,0.0000,0.5087,0.0000,60.0,NO
Distance,2.75,-5,16.5009,-1.7105,8.3350,0.0281,0.0281,0.0000,8.2504,-0.0845,16.5289,FailureType.no_failure,0.0051,FailureType.no_failure,0.5082,0.0000,16.5289,FailureType.no_failure,0.0051,FailureType.no_failure,0.5082,0.0000,0.0051,0.0000,0.5082,0.0000,60.0,NO
Distance,2.75,-5,16.4201,-1.6884,8.3350,0.1091,0.1091,0.0000,8.2100,-0.1249,16.5292,FailureType.no_failure,0.0054,FailureType.no_failure,0.5072,0.0000,16.5292,FailureType.no_failure,0.0054,FailureType.no_failure,0.5072,0.0000,0.0054,0.0000,0.5072,0.0000,60.0,NO
Distance,2.75,-5,16.3671,-1.2464,8.3384,0.1624,0.1624,0.0000,8.1836,-0.1548,16.5295,FailureType.no_failure,0.0076,FailureType.no_failure,0.5061,0.0000,16.5295,FailureType.no_failure,0.0076,FailureType.no_failure,0.5061,0.0000,0.0076,0.0000,0.5061,0.0000,60.0,NO
Distance,2.75,-5,16.3383,-0.7183,8.3440,0.1915,0.1915,0.0000,8.1692,-0.1748,16.5298,FailureType.no_failure,0.0097,FailureType.no_failure,0.5052,0.0000,16.5298,FailureType.no_failure,0.0097,FailureType.no_failure,0.5052,0.0000,0.0097,0.0000,0.5052,0.0000,60.0,NO
Distance,2.75,-5,16.3269,-0.3109,8.3509,0.2030,0.2030,0.0000,8.1634,-0.1874,16.5299,FailureType.no_failure,-0.0013,FailureType.no_failure,0.5048,0.0000,16.5299,FailureType.no_failure,-0.0013,FailureType.no_failure,0.5048,0.0000,0.0000,-0.0013,0.5048,0.0000,60.0,NO
Distance,2.75,-5,16.3275,-0.0398,8.3585,0.2023,0.2023,0.0000,8.1638,-0.1947,16.5298,FailureType.no_failure,-0.0032,FailureType.no_failure,0.5049,0.0000,16.5298,FailureType.no_failure,-0.0032,FailureType.no_failure,0.5049,0.0000,0.0000,-0.0032,0.5049,0.0000,60.0,NO
Distance,2.75,-5,16.3365,0.1595,8.3664,0.1931,0.1931,0.0000,8.1683,-0.1981,16.5297,FailureType.no_failure,-0.0023,FailureType.no_failure,0.5056,0.0000,16.5297,FailureType.no_failure,-0.0023,FailureType.no_failure,0.5056,0.0000,0.0000,-0.0023,0.5056,0.0000,60.0,NO
Distance,2.75,-5,16.3516,0.2861,8.3744,0.1778,0.1778,0.0000,8.1758,-0.1986,16.5294,FailureType.no_failure,0.0008,FailureType.no_failure,0.5064,0.0000,16.5294,FailureType.no_failure,0.0008,FailureType.no_failure,0.5064,0.0000,0.0008,0.0000,0.5064,0.0000,60.0,NO
Distance,2.75,-5,16.3707,0.3850,8.3823,0.1585,0.1585,0.0000,8.1854,-0.1970,16.5292,FailureType.no_failure,-0.0013,FailureType.no_failure,0.5072,0.0000,16.5292,FailureType.no_failure,-0.0013,FailureType.no_failure,0.5072,0.0000,0.0000,-0.0013,0.5072,0.0000,60.0,NO
Distance,2.75,-5,16.3932,0.4609,8.3900,0.1359,0.1359,0.0000,8.1966,-0.1934,16.5291,FailureType.no_failure,-0.0059,FailureType.no_failure,0.5077,0.0000,16.5291,FailureType.no_failure,-0.0059,FailureType.no_failure,0.5077,0.0000,0.0000,-0.0059,0.5077,0.0000,60.0,NO
Distance,2.75,-5,16.4181,0.5106,8.3972,0.1110,0.1110,0.0000,8.2090,-0.1881,16.5291,FailureType.no_failure,0.0041,FailureType.no_failure,0.5078,0.0000,16.5291,FailureType.no_failure,0.0041,FailureType.no_failure,0.5078,0.0000,0.0041,0.0000,0.5078,0.0000,60.0,NO
Distance,2.75,-5,16.4447,0.5425,8.4036,0.0845,0.0845,0.0000,8.2223,-0.1812,16.5291,FailureType.no_failure,-0.0028,FailureType.no_failure,0.5074,0.0000,16.5291,FailureType.no_failure,-0.0028,FailureType.no_failure,0.5074,0.0000,0.0000,-0.0028,0.5074,0.0000,60.0,NO
Distance,2.75,-5,16.4723,0.5741,8.4089,0.0570,0.0570,0.0000,8.2362,-0.1728,16.5293,FailureType.no_failure,0.0096,FailureType.no_failure,0.5068,0.0000,16.5293,FailureType.no_failure,0.0096,FailureType.no_failure,0.5068,0.0000,0.0096,0.0000,0.5068,0.0000,60.0,NO
Distance,2.75,-5,16.5008,0.5800,8.4131,0.0287,0.0287,0.0000,8.2504,-0.1627,16.5295,FailureType.no_failure,0.0123,FailureType.no_failure,0.5062,0.0000,16.5295,FailureType.no_failure,0.0123,FailureType.no_failure,0.5062,0.0000,0.0123,0.0000,0.5062,0.0000,60.0,NO
